tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Skin_Not_Sun_Exposed_Suprapubic	X801.1	-0.866888	2.32178e-5	FAAH	Fracture of foot	1.35910e-1	8.11949e-1	375	19279
Nerve_Tibial	X840.1	-1.3577	2.32826e-5	CUL7	Muscle/tendon sprain	2.03769e-1	6.80740e-1	47	20163
Esophagus_Gastroesophageal_Junction	X796	-0.555925	2.33548e-5	STIM2	Elevated prostate specific antigen [PSA]	9.82777e-2	8.22161e-1	488	8351
Colon_Transverse	X766	-0.904076	2.33639e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.43484e-1	8.44587e-1	611	20431
Adrenal_Gland	X735.21	-1.02739	2.35203e-5	SCYL3	Hammer toe (acquired)	2.82622e-2	7.45480e-1	245	20000
Artery_Tibial	X594.3	-1.14711	2.35417e-5	DRD4	Calculus of ureter	1.58998e-2	7.87961e-1	279	21056
Ovary	X506	-0.414161	2.35593e-5	DNPH1	Empyema and pneumothorax	1.51084e-1	8.76486e-1	1052	13235
Cells_Transformed_fibroblasts	X505	1.24967	2.37339e-5	PLEKHH1	Other pulmonary inflamation or edema	3.86274e-2	1.26263e+0	338	13235
Cells_Transformed_fibroblasts	X227	-5.1359	2.37461e-5	ECHDC1	Benign neoplasm of other endocrine glands and related structures	6.95651e-2	7.63516e-1	211	22392
Pituitary	X592.13	-1.08283	2.38882e-5	TPD52L1	Chronic interstitial cystitis	1.88028e-1	5.79532e-1	61	16050
Testis	X245.1	-2.09511	2.38933e-5	IQCE	Thyroiditis, acute and subacute	1.56607e-1	4.09878e-1	21	17866
Esophagus_Mucosa	X593.1	-0.515528	2.40140e-5	IL20RA	Gross hematuria	2.42490e-1	7.80726e-1	203	16050
Heart_Atrial_Appendage	X281	0.948927	2.41591e-5	CFHR3	Other deficiency anemia	8.51490e-2	1.15955e+0	920	13144
Lung	X568	-0.532593	2.41607e-5	MDGA1	Other disorders of peritoneum	2.82479e-1	7.86785e-1	326	19195
Esophagus_Mucosa	X348.9	0.977437	2.42281e-5	B4GALT1	Other conditions of brain, NOS	9.35143e-2	1.20125e+0	563	17257
Cells_Transformed_fibroblasts	X568	-0.50972	2.44775e-5	MDGA1	Other disorders of peritoneum	3.58644e-1	7.87789e-1	326	19195
Nerve_Tibial	X355.1	0.842992	2.46329e-5	SERPIND1	Chronic pain syndrome	1.68050e-1	1.29773e+0	257	19768
Heart_Left_Ventricle	X191.1	-0.903965	2.48821e-5	BTBD1	Cancer of brain and nervous system	4.50590e-2	7.81569e-1	275	22227
Stomach	X726.3	0.843476	2.50035e-5	PLEKHG1	Bursitis	3.57995e-2	1.23780e+0	282	17625
Uterus	X443	0.489675	2.50109e-5	CCNY	Peripheral vascular disease	9.92177e-2	1.12997e+0	1401	16965
Skin_Not_Sun_Exposed_Suprapubic	X53	-1.8184	2.50268e-5	COL9A2	Herpes zoster	3.31006e-2	7.85025e-1	298	19087
Colon_Sigmoid	X249	-0.824785	2.51249e-5	POLR2E	Secondary diabetes mellitus	2.02037e-1	6.98367e-1	166	13897
Adrenal_Gland	X747.1	-0.730468	2.52308e-5	TIMM21	Cardiac congenital anomalies	3.43651e-2	8.68414e-1	774	21722
Lung	X358.1	-3.62821	2.53207e-5	NIPAL2	Myasthenia gravis	4.52611e-2	6.29847e-1	49	20339
Esophagus_Muscularis	X250.13	8.48382	2.53548e-5	BTN3A1	Type 1 diabetes with ophthalmic manifestations	4.74110e-2	1.40228e+0	157	13897
Thyroid	X690.1	1.60999	2.54093e-5	CWH43	Seborrheic dermatitis	6.75064e-2	1.35067e+0	216	19985
Uterus	X580.11	1.74658	2.54149e-5	POMC	Proliferative glomerulonephritis	1.39352e-1	1.63329e+0	55	15383
Cells_Transformed_fibroblasts	X145.2	1.3867	2.54178e-5	IL20RA	Cancer of tongue	2.55426e-2	1.37596e+0	157	22163
Artery_Tibial	X220	3.2544	2.54788e-5	LIN7B	Benign neoplasm of ovary	2.43652e-2	1.42974e+0	61	9066
Esophagus_Gastroesophageal_Junction	X855	2.08374	2.55001e-5	RAP1GAP	Complication of nervous system device, implant, and graft	3.88911e-2	1.46021e+0	147	18370
Testis	X364.1	-2.56479	2.55507e-5	BTBD1	Corneal opacity	1.66553e-2	6.59271e-1	83	20443
Brain_Cerebellar_Hemisphere	X580.31	-1.13437	2.55737e-5	TBC1D13	Nephritis and nephropathy in diseases classified elsewhere	4.32618e-2	7.64746e-1	237	15383
Colon_Transverse	X245.21	1.48824	2.56788e-5	ZNF184	Chronic lymphocytic thyroiditis	7.50650e-2	1.45477e+0	124	17866
Lung	X512.9	-0.793213	2.57316e-5	SMOX	Other dyspnea	1.17513e-2	9.22335e-1	4744	9186
Nerve_Tibial	X244.4	-1.32744	2.57690e-5	BMP8B	Hypothyroidism NOS	1.07100e-1	9.16910e-1	2881	17866
Esophagus_Mucosa	X201	-1.10911	2.57832e-5	CEP170B	Hodgkin's disease	1.40607e-1	7.04962e-1	168	21574
Muscle_Skeletal	X355	-2.19804	2.58420e-5	LRP6	Complex regional/central pain syndrome	2.79796e-2	7.02877e-1	126	19768
Adipose_Visceral_Omentum	X599.1	-3.1114	2.58433e-5	CHMP2B	Urinary obstruction	2.38149e-2	7.07124e-1	168	16444
Pituitary	X480.3	2.38665	2.59749e-5	CLCN7	Pneumonia due to fungus (mycoses)	4.65917e-2	1.52022e+0	84	16775
Nerve_Tibial	X528.12	-3.68773	2.59951e-5	ZNF37A	Oral aphthae	2.86475e-2	5.48778e-1	28	21574
Skin_Sun_Exposed_Lower_leg	X613.7	-2.25361	2.62487e-5	FOXRED2	Other signs and symptoms in breast	1.98018e-2	6.48447e-1	88	22039
Whole_Blood	X705.1	8.65185	2.62545e-5	ZNF37A	Dyshidrosis	7.43265e-3	1.56243e+0	47	20850
Artery_Tibial	X452.8	3.97164	2.63962e-5	BTN2A1	Postphlebitic syndrome	1.35746e-1	2.06703e+0	22	15674
Artery_Coronary	X766	-0.965145	2.64125e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.43195e-1	8.45322e-1	611	20431
Whole_Blood	X250.14	-1.45851	2.64522e-5	LILRB1	Type 1 diabetes with neurological manifestations	1.28331e-1	7.93119e-1	310	13897
Esophagus_Muscularis	X255.2	0.881318	2.64771e-5	PRSS16	Adrenal hypofunction	8.54065e-2	1.25677e+0	336	19664
Artery_Aorta	X614.1	1.49919	2.64900e-5	ENO3	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	3.35661e-1	2.05068e+0	31	10365
Prostate	X189.21	0.890834	2.65253e-5	ARID4A	Malignant neoplasm of bladder	1.03472e-1	1.24101e+0	390	22100
Breast_Mammary_Tissue	X355.1	1.43008	2.65983e-5	ECHDC1	Chronic pain syndrome	4.28328e-2	1.24346e+0	257	19768
Nerve_Tibial	X758.1	-3.45219	2.66322e-5	EIF3D	Chromosomal anomalies	1.47191e-2	6.53506e-1	45	22639
Cells_Transformed_fibroblasts	X361	0.679251	2.67129e-5	MEDAG	Retinal detachments and defects	1.87908e-1	1.30837e+0	187	20443
Prostate	X300	-0.218767	2.67668e-5	MRPS10	Anxiety, phobic and dissociative disorders	2.16010e-1	9.19404e-1	3049	14456
Brain_Cerebellar_Hemisphere	X159	0.777303	2.67786e-5	OLFML3	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	4.87508e-2	1.26693e+0	316	20027
Pituitary	X760	0.157748	2.67834e-5	CHFR	Back pain	1.63323e-1	1.07542e+0	4413	16472
Adipose_Subcutaneous	X592	1.16005	2.69050e-5	PSME4	Cystitis and urethritis	1.09029e-2	1.26336e+0	345	16050
Vagina	X370.3	-0.859641	2.69767e-5	HSD17B14	Keratoconjunctivitis	1.32485e-1	7.86912e-1	257	20046
Thyroid	X338.1	0.714665	2.69773e-5	POMC	Acute pain	1.81968e-2	1.10566e+0	1738	19029
Esophagus_Mucosa	X726.2	3.72884	2.72602e-5	LEPROTL1	Synoviopathy	3.92136e-2	1.52550e+0	36	17625
Brain_Putamen_basal_ganglia	X365.2	-1.61357	2.72920e-5	MMP2	Primary angle-closure glaucoma	1.16752e-1	6.68670e-1	76	20443
Colon_Transverse	X278.11	0.843225	2.73387e-5	ZNF14	Morbid obesity	2.49893e-2	1.12650e+0	1429	17791
Skin_Sun_Exposed_Lower_leg	X459.9	-0.777217	2.74626e-5	MTFR1	Circulatory disease NEC	1.69983e-1	8.08887e-1	405	17257
Muscle_Skeletal	X274.1	0.643595	2.75653e-5	SLC2A9	Gout	8.76723e-2	1.13092e+0	1145	21410
Thyroid	X530.12	-7.45167	2.76832e-5	CEP68	Ulcer of esophagus	1.45679e-2	6.32709e-1	63	13499
Adipose_Visceral_Omentum	X272.1	0.468319	2.77179e-5	TMED2	Hyperlipidemia	5.14737e-2	1.06366e+0	9792	11294
Breast_Mammary_Tissue	X189.11	0.738915	2.78480e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	1.00262e-1	1.23276e+0	460	22100
Muscle_Skeletal	X754.2	7.35495	2.79852e-5	TRIM14	Spondylolisthesis, congenital	2.30518e-2	2.30946e+0	44	22558
Small_Intestine_Terminal_Ileum	X800.1	-1.17838	2.81077e-5	SLC17A9	Fracture of neck of femur	7.86279e-2	8.14688e-1	388	19279
Adipose_Visceral_Omentum	X285.1	0.456786	2.81146e-5	NEK11	Acute posthemorrhagic anemia	7.45149e-2	1.10357e+0	2336	13144
Adipose_Visceral_Omentum	X990	-0.671953	2.82777e-5	MTAP	Effects radiation NOS	1.08351e-1	7.70125e-1	276	20342
Skin_Not_Sun_Exposed_Suprapubic	X447.7	-1.72703	2.83429e-5	B3GAT2	Aortic ectasia	5.72165e-2	6.38225e-1	93	16965
Nerve_Tibial	X427.11	-1.6419	2.84785e-5	CHMP2B	Paroxysmal supraventricular tachycardia	3.82832e-2	8.31570e-1	614	10731
Adipose_Visceral_Omentum	X272	0.467016	2.85033e-5	TMED2	Disorders of lipoid metabolism	5.14737e-2	1.06347e+0	9839	11294
Skin_Not_Sun_Exposed_Suprapubic	X274.1	0.780685	2.85604e-5	SLC2A9	Gout	4.73063e-2	1.13201e+0	1145	21410
Brain_Cerebellum	X797	0.754322	2.86822e-5	NUP155	Shock	4.44126e-2	1.15285e+0	798	21736
Brain_Cerebellum	X358	-1.45575	2.87787e-5	PPWD1	Myoneural disorders	9.27976e-2	6.26878e-1	70	20339
Adipose_Visceral_Omentum	X530.5	-7.61599	2.87931e-5	PCDHB10	Disorders of esophageal motility	3.31635e-2	6.70797e-1	90	13499
Adipose_Subcutaneous	X599.8	2.7905	2.88359e-5	POMC	Other symptoms involving urinary system	6.67734e-2	1.70916e+0	34	16444
Adipose_Subcutaneous	X260.1	2.91625	2.89200e-5	RRM2B	Cachexia	3.79961e-2	1.48556e+0	91	16572
Cells_Transformed_fibroblasts	X565.1	-1.76033	2.90143e-5	RASIP1	Anal and rectal polyp	2.78821e-1	4.77574e-1	39	19195
Adipose_Visceral_Omentum	X198.7	2.49101	2.91326e-5	WRAP73	Secondary malignant neoplasm of skin	1.61579e-1	1.38719e+0	178	17297
Lung	X470	1.80881	2.91672e-5	CRYM	Septal Deviations/Turbinate Hypertrophy	9.34441e-3	1.16866e+0	750	16459
Liver	X151	1.0863	2.92285e-5	CYP2D6	Cancer of stomach	1.74226e-1	1.39153e+0	171	20027
Brain_Cerebellum	X727.5	1.56416	2.92355e-5	PHLDB1	Rupture of synovium	1.55631e-1	1.84657e+0	47	17625
Adipose_Subcutaneous	X446.5	-7.26613	2.92670e-5	PHACTR2	Giant cell arteritis	1.29546e-2	5.66375e-1	47	16965
Whole_Blood	X260.1	-1.56443	2.92759e-5	JARID2	Cachexia	6.88440e-2	7.12487e-1	91	16572
Muscle_Skeletal	X809	-0.669144	2.93162e-5	TRIM62	Fracture of unspecified bones	1.09487e-1	8.43821e-1	691	19279
Artery_Tibial	X858	0.679135	2.93507e-5	HSD17B1	Complication of internal orthopedic device	9.90119e-2	1.21407e+0	412	18370
Brain_Cerebellum	X785	-0.219574	2.93512e-5	OLFM2	Abdominal pain	9.92612e-2	9.36912e-1	6001	14711
Testis	X227	0.770683	2.94101e-5	ECHDC1	Benign neoplasm of other endocrine glands and related structures	3.18951e-1	1.31343e+0	211	22392
Skin_Not_Sun_Exposed_Suprapubic	X426.23	2.33672	2.94138e-5	RFX2	Second degree AV block	1.87818e-2	1.39077e+0	135	10731
Adipose_Subcutaneous	X686	-0.919236	2.94735e-5	BTNL8	Other local infections of skin and subcutaneous tissue	2.27978e-1	8.17616e-1	411	18720
Esophagus_Gastroesophageal_Junction	X411.41	1.61604	2.94836e-5	FAM162A	Aneurysm and dissection of heart	6.26390e-2	1.63447e+0	51	13196
Brain_Caudate_basal_ganglia	X204.21	0.951997	2.95047e-5	TRIP4	Myeloid leukemia, acute	9.58739e-2	1.24036e+0	285	21574
Lung	X696.41	1.05804	2.95408e-5	MVK	Psoriasis vulgaris	4.40706e-2	1.31234e+0	227	19031
Whole_Blood	X250.15	-4.50104	2.95870e-5	SKP1	Diabetes type 1 with peripheral circulatory disorders	1.31039e-2	6.52322e-1	61	13897
Brain_Hypothalamus	X560.2	-2.8671	2.96146e-5	GNLY	Impaction of intestine	9.24160e-2	5.20405e-1	42	16064
Cells_EBV-transformed_lymphocytes	X758.1	-2.56164	2.96880e-5	SDHA	Chromosomal anomalies	5.54523e-2	5.57583e-1	45	22639
Breast_Mammary_Tissue	X586.12	3.51488	2.96942e-5	CHMP2B	Vesicoureteral reflux	2.98449e-2	1.68003e+0	74	15383
Lung	X164	2.37756	2.97344e-5	RNF43	Cancer of intrathoracic organs	9.81734e-2	1.70464e+0	37	22045
Brain_Cerebellum	X427.5	-0.832786	2.98223e-5	GMDS	Arrhythmia (cardiac) NOS	4.36217e-2	8.91147e-1	1722	10731
Cells_Transformed_fibroblasts	X420.3	-0.663485	2.99291e-5	B4GALT1	Endocarditis	1.68328e-1	7.86278e-1	229	19395
Adrenal_Gland	X189.11	0.731657	2.99317e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	1.13824e-1	1.23455e+0	460	22100
Testis	X296.1	0.500508	2.99398e-5	LMF2	Bipolar	6.00985e-2	1.20785e+0	485	14456
Brain_Caudate_basal_ganglia	X249	-1.30292	2.99462e-5	POLR2E	Secondary diabetes mellitus	1.23013e-1	6.87415e-1	166	13897
Breast_Mammary_Tissue	X474.2	1.06639	3.00800e-5	BIRC7	Chronic tonsillitis and adenoiditis	8.37886e-2	1.39679e+0	156	16459
Esophagus_Mucosa	X184.2	2.28462	3.01526e-5	UQCRC1	Cancer of other female genital organs	2.66731e-2	1.46455e+0	68	9624
Adipose_Subcutaneous	X703	3.52747	3.03976e-5	TXK	Diseases of nail, NOS	9.06556e-3	1.41971e+0	105	21732
Lung	X286.2	-0.29565	3.05200e-5	PSEN1	Encounter for long-term (current) use of anticoagulants	6.24939e-2	9.16302e-1	2698	15873
Stomach	X472	0.699009	3.05256e-5	BTNL8	Chronic pharyngitis and nasopharyngitis	6.98501e-2	1.17771e+0	547	16459
Spleen	X276.1	0.185639	3.05329e-5	NEK11	Electrolyte imbalance	1.60288e-1	1.07170e+0	5417	13027
Artery_Aorta	X931	-3.27574	3.06630e-5	AHSA1	Contact dermatitis and other eczema due to plants [except food]	3.14560e-2	6.53231e-1	103	18931
Heart_Left_Ventricle	X191	-0.780341	3.06746e-5	BTBD1	Malignant and unknown neoplasms of brain and nervous system	4.50590e-2	8.08360e-1	368	22227
Muscle_Skeletal	X506	-0.469291	3.06886e-5	DNPH1	Empyema and pneumothorax	1.01055e-1	8.82244e-1	1052	13235
Artery_Tibial	X198.4	-0.546994	3.07319e-5	MARC2	Secondary malignant neoplasm of liver	1.07560e-1	8.50328e-1	629	17297
Brain_Cortex	X276.5	-0.265977	3.07369e-5	ARHGEF26	Hypovolemia	8.20071e-2	9.14850e-1	2728	13027
Pancreas	X840.1	-5.56416	3.07569e-5	CUL7	Muscle/tendon sprain	2.24793e-2	6.94331e-1	47	20163
Whole_Blood	X164	2.3646	3.07573e-5	NDUFS8	Cancer of intrathoracic organs	1.23238e-1	1.88106e+0	37	22045
Cells_EBV-transformed_lymphocytes	X568	-0.368398	3.07958e-5	MDGA1	Other disorders of peritoneum	5.65049e-1	7.88011e-1	326	19195
Artery_Coronary	X359	-0.967049	3.08052e-5	BTN3A1	Muscular dystrophies and other myopathies	5.96971e-2	8.35387e-1	638	20339
Artery_Aorta	X724.1	-2.57902	3.08145e-5	EFNB3	Disorders of sacrum	7.54929e-2	5.00465e-1	20	17801
Muscle_Skeletal	X626.2	-2.80395	3.08810e-5	TCERG1	Dysmenorrhea	2.70504e-2	7.46074e-1	84	7985
Skin_Sun_Exposed_Lower_leg	X599.6	0.658128	3.10515e-5	MDGA1	Oliguria and anuria	6.06902e-1	1.56560e+0	90	16444
Lung	X244.4	-0.331832	3.11730e-5	PDE8B	Hypothyroidism NOS	1.26514e-1	9.15839e-1	2881	17866
Cells_EBV-transformed_lymphocytes	X323.8	1.83093	3.12132e-5	GOLT1B	Encephalitis, non-infectious	1.07095e-1	1.83671e+0	39	22760
Adipose_Visceral_Omentum	X871.3	1.79142	3.12294e-5	TSPAN32	Open wound of foot except toe(s) alone	5.86214e-2	1.53091e+0	72	19977
Esophagus_Mucosa	X245.2	1.65145	3.12515e-5	BTN3A1	Chronic thyroiditis	1.26598e-1	1.37212e+0	127	17866
Brain_Putamen_basal_ganglia	X355.1	-0.810684	3.13076e-5	GSDMB	Chronic pain syndrome	6.14792e-2	7.93004e-1	257	19768
Spleen	X458	-0.473334	3.13216e-5	UQCRC1	Hypotension	7.10089e-2	9.16886e-1	2788	17257
Esophagus_Muscularis	X760	-0.690424	3.13411e-5	RANGAP1	Back pain	2.11455e-2	9.35288e-1	4413	16472
Nerve_Tibial	X726.3	-2.84483	3.14040e-5	PPP6R2	Bursitis	2.60356e-2	7.82013e-1	282	17625
Esophagus_Gastroesophageal_Junction	X433.12	-3.10772	3.14561e-5	FERMT1	Cerebral atherosclerosis	4.27789e-2	7.98110e-1	222	17383
Muscle_Skeletal	X723	2.27491	3.14886e-5	ATP6V0B	Other disorders of cervical region	1.44318e-1	1.30479e+0	165	17801
Adrenal_Gland	X276.14	0.61371	3.14979e-5	NEK11	Hypopotassemia	6.52853e-2	1.09061e+0	2976	13027
Testis	X532	-0.460333	3.15993e-5	ETFB	Dysphagia	2.79057e-2	9.03139e-1	2045	13499
Brain_Caudate_basal_ganglia	X782	15.8306	3.17473e-5	CNR1	Symptoms involving skin and other integumentary tissue	4.51910e-2	1.37596e+0	70	17828
Brain_Cerebellum	X285.22	-0.442722	3.17609e-5	DIMT1	Anemia in neoplastic disease	6.86958e-2	8.56138e-1	772	13144
Adrenal_Gland	X418	0.34571	3.18024e-5	ZNF268	Nonspecific chest pain	4.69865e-2	1.06399e+0	8478	11624
Adipose_Visceral_Omentum	X214	8.05715	3.18224e-5	GSDMB	Lipoma	2.01205e-2	1.32529e+0	156	22637
Testis	X411.2	0.347956	3.18235e-5	BTNL8	Myocardial infarction	5.06873e-1	1.10388e+0	2512	13196
Heart_Left_Ventricle	X568	1.47687	3.18541e-5	MMP25	Other disorders of peritoneum	2.95081e-2	1.20605e+0	326	19195
Adipose_Subcutaneous	X364.1	-1.77203	3.20082e-5	BTBD1	Corneal opacity	1.28365e-1	6.14092e-1	83	20443
Thyroid	X528.1	-0.980828	3.21363e-5	HPS1	Stomatitis and mucositis	1.05234e-1	7.77979e-1	315	21574
Lung	X507	-0.412023	3.21900e-5	LRP5L	Pleurisy; pleural effusion	6.07959e-2	9.22093e-1	3671	13235
Cells_EBV-transformed_lymphocytes	X338.2	-0.789941	3.22419e-5	JARID2	Chronic pain	3.08420e-2	8.67838e-1	749	19029
Lung	X283.2	2.71875	3.22696e-5	NTN1	Non-autoimmune hemolytic anemias	1.04879e-1	1.86381e+0	36	13144
Brain_Frontal_Cortex_BA9	X395.2	11.4119	3.22713e-5	R3HDM1	Nonrheumatic aortic valve disorders	7.45363e-2	1.11677e+0	1644	16709
Heart_Left_Ventricle	X241.1	1.27649	3.22772e-5	RAD51C	Nontoxic uninodular goiter	2.26888e-2	1.29813e+0	289	17866
Adipose_Visceral_Omentum	X733.6	4.33908	3.22821e-5	LIN7B	Costochondritis	4.41308e-2	1.75896e+0	20	19040
Prostate	X395.6	-0.32858	3.23990e-5	CEP72	Heart valve replaced	1.65383e-1	8.53363e-1	751	16709
Cells_Transformed_fibroblasts	X335	2.84531	3.24066e-5	PTGS1	Multiple sclerosis	3.66890e-2	1.31505e+0	177	17257
Small_Intestine_Terminal_Ileum	X686	-0.781922	3.24851e-5	BTNL8	Other local infections of skin and subcutaneous tissue	2.42703e-1	8.21164e-1	411	18720
Small_Intestine_Terminal_Ileum	X737.3	1.90586	3.25130e-5	RABEP1	Kyphoscoliosis and scoliosis	2.48953e-1	1.27335e+0	321	20000
Esophagus_Gastroesophageal_Junction	X252.2	3.98885	3.25246e-5	CCDC113	Hypoparathyroidism	5.67765e-2	1.52003e+0	56	19664
Adipose_Subcutaneous	X191.11	-1.27728	3.25457e-5	ARG2	Cancer of brain	1.99452e-2	7.85245e-1	245	22227
Lung	X772.1	6.4429	3.25668e-5	RAI1	Muscular wasting and disuse atrophy	1.32359e-2	1.49197e+0	57	20241
Brain_Cortex	X358.1	-2.59254	3.25769e-5	RNH1	Myasthenia gravis	1.75614e-1	5.53333e-1	49	20339
Adipose_Subcutaneous	X592.1	1.21368	3.26027e-5	PSME4	Cystitis	1.09029e-2	1.27709e+0	309	16050
Whole_Blood	X530.12	-3.00568	3.26096e-5	CEP68	Ulcer of esophagus	7.97697e-2	6.11041e-1	63	13499
Brain_Cerebellar_Hemisphere	X709.2	0.947975	3.27069e-5	CLCN7	Sicca syndrome	1.08309e-1	1.49561e+0	109	19689
Colon_Transverse	X210	-1.92235	3.27831e-5	MFN2	Benign neoplasm of lip, oral cavity, and pharynx	1.22120e-1	6.51116e-1	119	22163
Artery_Coronary	X386.1	-2.5232	3.27886e-5	FAM120B	Meniere's disease	3.46624e-2	7.00928e-1	111	19218
Brain_Putamen_basal_ganglia	X240	-1.33649	3.27910e-5	NRIP2	Simple and unspecified goiter	1.12687e-1	7.55464e-1	177	17866
Esophagus_Muscularis	X447.7	-3.78253	3.28392e-5	USP14	Aortic ectasia	2.08133e-2	6.58970e-1	93	16965
Skin_Not_Sun_Exposed_Suprapubic	X368.91	-4.72663	3.29405e-5	PNKP	Psychophysical visual disturbances	1.56662e-2	6.48677e-1	24	21265
Skin_Sun_Exposed_Lower_leg	X783.1	2.48691	3.29835e-5	TCTN3	Postprocedural fever	7.32515e-2	1.56387e+0	26	17109
Esophagus_Mucosa	X358.1	-2.95074	3.30836e-5	MDK	Myasthenia gravis	1.73500e-2	6.16939e-1	49	20339
Adipose_Visceral_Omentum	X270.3	0.544039	3.32721e-5	MRPS10	Disorders of plasma protein metabolism	3.93996e-1	1.27810e+0	353	21469
Brain_Caudate_basal_ganglia	X395	0.186934	3.33093e-5	NIT2	Heart valve disorders	2.93830e-1	1.08372e+0	3571	16709
Esophagus_Mucosa	X202	-0.636155	3.33236e-5	CEP170B	Cancer of other lymphoid, histiocytic tissue	1.40607e-1	8.18299e-1	512	21574
Colon_Transverse	X465.4	-1.81555	3.33364e-5	DESI1	Acute laryngitis and tracheitis	1.02694e-1	7.19707e-1	57	17862
Artery_Tibial	X568	-0.471532	3.34398e-5	MDGA1	Other disorders of peritoneum	3.66399e-1	7.91810e-1	326	19195
Lung	X870	0.973011	3.36594e-5	HMGXB3	Open wounds of head; neck; and trunk	1.92731e-2	1.15139e+0	786	19977
Whole_Blood	X270.3	1.26176	3.37112e-5	MRPS10	Disorders of plasma protein metabolism	1.09459e-1	1.27716e+0	353	21469
Ovary	X420	0.35691	3.37748e-5	ZRANB1	Carditis	5.51242e-2	1.17060e+0	780	19395
Artery_Aorta	X286.81	1.71867	3.37966e-5	POFUT1	Primary hypercoagulable state	3.68023e-2	1.35193e+0	175	15873
Vagina	X596.1	-10.1811	3.39331e-5	PLEK	Bladder neck obstruction	8.23400e-2	6.55589e-1	90	20575
Adipose_Subcutaneous	X727.1	-0.592362	3.39660e-5	TCERG1	Synovitis and tenosynovitis	1.77254e-2	8.52700e-1	686	17625
Pancreas	X656.26	-16.4117	3.41563e-5	GMDS	Transitory tachypnea or apnea of newborn	2.46482e-2	6.97029e-1	29	23061
Colon_Transverse	X560.3	1.90696	3.41803e-5	GALNT12	Peritoneal or intestinal adhesions	4.57983e-2	1.59845e+0	78	16064
Esophagus_Mucosa	X187	-2.72558	3.43402e-5	LILRB1	Cancer of other male genital organs	1.22174e-1	5.71479e-1	58	10494
Testis	X596.1	-0.715831	3.43559e-5	MADCAM1	Bladder neck obstruction	1.12131e-1	6.75853e-1	90	20575
Whole_Blood	X441	0.696972	3.44383e-5	FOXRED2	Vascular insufficiency of intestine	1.64752e-1	1.27390e+0	168	16965
Lung	X942	2.93976	3.44721e-5	DPEP1	Infusion and transfusion reaction	3.12066e-2	1.44414e+0	66	18931
Liver	X426.25	4.37943	3.45066e-5	ADNP2	Other heart block	6.72303e-2	3.30807e+0	25	10731
Esophagus_Mucosa	X149.1	1.90273	3.45191e-5	COL9A2	Cancer of oropharynx	3.09081e-2	1.37674e+0	169	22163
Brain_Cerebellum	X479	0.954983	3.45891e-5	UBE2I	Other upper respiratory disease	7.48104e-2	1.16719e+0	825	16459
Colon_Sigmoid	X217.1	4.50603	3.46465e-5	NNT	Nevus, non-neoplastic	3.39632e-2	1.48228e+0	77	20665
Heart_Atrial_Appendage	X357	0.873646	3.47561e-5	ARG2	Inflammatory and toxic neuropathy	9.74792e-2	1.29720e+0	216	20339
Cells_Transformed_fibroblasts	X364.1	3.84913	3.47669e-5	TROVE2	Corneal opacity	3.22133e-2	1.33084e+0	83	20443
Spleen	X270	0.517357	3.47975e-5	MRPS10	Disorders of protein plasma/amino-acid transport and metabolism	2.59296e-1	1.24313e+0	423	21469
Brain_Nucleus_accumbens_basal_ganglia	X728	1.62947	3.48362e-5	ITGA6	Disorders of muscle, ligament, and fascia	6.77572e-2	1.64643e+0	76	17625
Testis	X274.1	-0.855069	3.48517e-5	SLC2A9	Gout	4.64098e-2	8.79508e-1	1145	21410
Pancreas	X458	-0.738466	3.49452e-5	TACR2	Hypotension	8.65602e-2	9.17953e-1	2788	17257
Vagina	X300.4	0.300997	3.51548e-5	TXN2	Dysthymic disorder	1.09026e-1	1.18705e+0	603	14456
Artery_Tibial	X590	-0.630378	3.52275e-5	ZNF14	Pyelonephritis	1.97528e-1	8.13019e-1	396	16050
Whole_Blood	X443.9	-0.781719	3.52358e-5	LILRB1	Peripheral vascular disease, unspecified	1.28331e-1	8.83178e-1	1174	16965
Stomach	X250.25	-2.0911	3.53598e-5	RIMS3	Diabetes type 2 with peripheral circulatory disorders	2.01488e-2	7.68837e-1	262	13897
Uterus	X381.9	1.30161	3.53781e-5	PIGB	Otorrhea	2.29769e-1	1.57558e+0	64	20771
Artery_Coronary	X620	3.53525	3.53828e-5	SYDE2	Dysplasia of female genital organs	4.82007e-2	2.13472e+0	30	11133
Thyroid	X276.1	0.228903	3.57730e-5	KIF1B	Electrolyte imbalance	1.48481e-1	1.07079e+0	5417	13027
Artery_Tibial	X286.81	35.9273	3.58656e-5	NUCB2	Primary hypercoagulable state	1.22464e-2	1.40616e+0	175	15873
Esophagus_Muscularis	X255.21	0.990877	3.59363e-5	PRSS16	Glucocorticoid deficiency	8.54065e-2	1.29299e+0	255	19664
Lung	X220	2.15535	3.60739e-5	LIN7B	Benign neoplasm of ovary	6.40552e-2	1.42788e+0	61	9066
