tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Thyroid	X367.2	-0.966082	3.10907e-6	CTSW	Astigmatism	4.54659e-1	58	8335
Artery-Aorta	X597.1	-2.08715	3.10910e-6	DMAP1	Urethral stricture (not specified as infectious)	3.26764e-2	60	8074
Lung	X636.2	-42.1218	3.15087e-6	CRTC3	Early onset of delivery	1.34572e-2	31	8943
Colon-Transverse	X343	-3.48808	3.16709e-6	CTSO	Infantile cerebral palsy	4.37658e-2	31	6544
Heart-AtrialAppendage	X524	-7.6457	3.16871e-6	EIF6	Dentofacial anomalies, including malocclusion	2.78577e-2	28	8243
SmallIntestine-TerminalIleum	X112	-0.298966	3.22634e-6	ENTPD8	Candidiasis	1.69569e-1	477	7391
Heart-LeftVentricle	X577.2	-3.88539	3.25248e-6	ELMSAN1	Chronic pancreatitis	9.35714e-3	65	8624
AdrenalGland	X250.7	1.037	3.31255e-6	COL11A2	Diabetic retinopathy	8.02051e-2	274	4644
Artery-Aorta	X367.2	-1.14294	3.37004e-6	CTSW	Astigmatism	3.59163e-1	58	8335
Brain-CerebellarHemisphere	X371.21	30.6237	3.41562e-6	DHX38	Allergic conjunctivitis	1.98349e-2	108	7798
Heart-AtrialAppendage	X727.4	7.87719	3.42403e-6	DYNC2H1	Ganglion and cyst of synovium, tendon, and bursa	4.05961e-3	69	6730
Esophagus-Muscularis	X333.2	-1.89177	3.43195e-6	CBR1	Myoclonus	9.81983e-2	41	6544
Colon-Transverse	X367.2	-0.933458	3.44888e-6	CTSW	Astigmatism	5.25827e-1	58	8335
Skin-NotSunExposed-Suprapubic	X755	29.6016	3.46109e-6	DSCR8	Congenital anomalies of limbs	5.21075e-2	36	8811
Spleen	X110.13	1.69385	3.50205e-6	DFFA	Dermatophytosis of the body	2.07508e-2	37	7391
Ovary	X527.7	0.385753	3.50757e-6	CYGB	Disturbance of salivary secretion	1.12426e-3	27	8257
Brain-Cortex	X704.8	-11.0029	3.52907e-6	CCDC93	Other specified diseases of hair and hair follicles	9.61920e-3	80	8443
Pituitary	X250.1	1.25385	3.53834e-6	CFB	Type 1 diabetes	4.09922e-3	816	4936
Lung	X557	22.1189	3.58944e-6	CAV1	Intestinal malabsorption (non-celiac)	5.64784e-3	72	5956
Breast-MammaryTissue	X475	2.14874	3.61574e-6	CAV1	Chronic sinusitis	5.80974e-3	589	6193
Brain-Cortex	X875	-2.00695	3.62868e-6	CBR1	Non-healing surgical wound	4.83293e-2	80	7534
Testis	X802	-7.46343	3.66232e-6	COPB2	Fracture of pelvis	9.74505e-3	137	7283
Liver	X525	5.59453	3.67679e-6	DLG1	Other diseases of the teeth and supporting structures	2.07413e-2	78	8243
Breast-MammaryTissue	X260.22	5.3874	3.70965e-6	CAV1	Nutritional marasmus	5.80974e-3	72	6138
Brain-CerebellarHemisphere	X853	-3.8229	3.71889e-6	CYP20A1	Complication of colostomy or enterostomy	2.95124e-2	64	6685
Spleen	X504.1	2.62798	3.73292e-6	CCDC138	Idiopathic fibrosing alveolitis	1.10409e-2	45	5061
Lung	X292.2	-7.63753	3.75738e-6	EIF3L	Mild cognitive impairment	1.71858e-3	21	6654
Liver	X112.3	5.17634	3.76231e-6	CYB5RL	Candidiasis of skin and nails	1.09098e-2	47	7391
AdrenalGland	X706.1	-1.44881	3.80564e-6	CNPY4	Acne	1.44583e-2	90	8052
Brain-Hippocampus	X117.1	4.7929	3.80783e-6	COG1	Histoplasmosis	1.01218e-2	30	7391
Brain-Nucleusaccumbens-basalganglia	X571.8	-1.74051	3.82353e-6	DNASE1L3	Liver abscess and sequelae of chronic liver disease	8.41545e-3	221	6421
Artery-Tibial	X289.8	-122.975	3.94879e-6	CEP128	Polycythemia vera, secondary	4.25653e-3	45	5838
SmallIntestine-TerminalIleum	X286.6	26.9337	3.95894e-6	CLDN12	Defibrination syndrome	3.95786e-2	29	5981
Brain-FrontalCortex-BA9	X618.6	-4.43584	3.97099e-6	DTX3L	Vaginal enterocele, congenital or acquired	1.48847e-2	28	8882
Stomach	X473.4	-21.4176	3.98318e-6	DPP8	Voice disturbance	1.03855e-2	201	6193
Brain-CerebellarHemisphere	X204.12	-2.64443	3.98377e-6	CHCHD5	Lymphoid leukemia, chronic	1.43914e-2	86	8016
Brain-Anteriorcingulatecortex-BA24	X523.31	-0.0268724	3.99869e-6	DEF6	Acute periodontitis	6.98159e-2	28	8243
Brain-CerebellarHemisphere	X250.14	-2.14656	3.99943e-6	CFB	Type 1 diabetes with neurological manifestations	3.37606e-3	168	4936
Ovary	X569.2	0.22595	4.03556e-6	DEFB118	Gastrointestinal complications	3.10572e-1	267	7242
Esophagus-GastroesophagealJunction	X722.1	-2.35209	4.10491e-6	EIF2S1	Displacement of intervertebral disc	2.59867e-2	207	6852
Brain-CerebellarHemisphere	X427.61	50.8906	4.11887e-6	EIF6	Supraventricular premature beats	2.30854e-1	20	4456
Esophagus-Mucosa	X367.2	-1.01524	4.12273e-6	CTSW	Astigmatism	4.64894e-1	58	8335
Skin-SunExposed-Lowerleg	X523.1	1.94854	4.15187e-6	CCDC138	Gingivitis	1.87186e-2	73	8243
Stomach	X473	-18.5359	4.27575e-6	DPP8	Diseases of the larynx and vocal cords	1.03855e-2	311	6193
Lung	X751.22	19.4579	4.37647e-6	CFTR	Other specified congenital anomalies of kidney	6.45173e-3	34	8409
AdrenalGland	X618.5	12.2489	4.37855e-6	DUSP26	Prolapse of vaginal vault after hysterectomy	1.07323e-3	50	8882
Thyroid	X747.11	-13.5541	4.38144e-6	DCTN4	Cardiac shunt/ heart septal defect	2.40287e-2	152	8634
Brain-Cerebellum	X353	-22.3854	4.41060e-6	CLDN12	Nerve root and plexus disorders	1.37846e-2	67	7504
SmallIntestine-TerminalIleum	X972	-1.83538	4.51348e-6	ECSCR	Poisoning by agents primarily affecting the cardiovascular system	3.71623e-2	117	6561
Ovary	X367.2	-3.09673	4.52047e-6	CTSW	Astigmatism	1.09053e-1	58	8335
Pituitary	X367.8	16.6881	4.58020e-6	CRISPLD2	Hypermetropia	2.20907e-2	24	8335
Lung	X367.2	-1.06083	4.59611e-6	CTSW	Astigmatism	3.21832e-1	58	8335
Brain-Putamen-basalganglia	X450	1.19468	4.61066e-6	CEP290	Noninfectious disorders of lymphatic channels	1.75508e-2	112	6040
AdrenalGland	X527	1.63129	4.61181e-6	CSAD	Diseases of the salivary glands	4.61460e-2	72	8257
Pancreas	X367.2	-1.54987	4.63723e-6	CTSW	Astigmatism	3.34010e-1	58	8335
Spleen	X401.21	2.59653	4.64441e-6	CTSV	Hypertensive heart disease	2.32556e-2	474	3058
Artery-Tibial	X291.4	-6.32756	4.65732e-6	ECI1	Specific nonpsychotic mental disorders due to brain damage	2.62795e-2	22	6654
Brain-Hypothalamus	X754.2	-3.32663	4.68762e-6	DECR1	Spondylolisthesis, congenital	7.52642e-3	23	8697
Brain-Anteriorcingulatecortex-BA24	X333.1	-3.76324	4.72136e-6	ENKUR	Essential tremor	6.19191e-2	99	6544
Brain-Nucleusaccumbens-basalganglia	X573.2	-0.926058	4.72868e-6	DPP8	Liver replaced by transplant	6.27053e-2	147	6421
Colon-Transverse	X530.14	3.03828	4.74514e-6	DUSP15	Reflux esophagitis	2.18273e-1	39	5130
AdrenalGland	X519	-4.28131	4.76401e-6	CPZ	Other diseases of respiratory system, not elsewhere classified	1.39568e-2	439	8048
Spleen	X367.2	-1.36734	4.79705e-6	CTSW	Astigmatism	3.65216e-1	58	8335
Muscle-Skeletal	X367.2	-3.19147	4.83254e-6	CTSW	Astigmatism	6.70169e-2	58	8335
Esophagus-Muscularis	X599.4	0.834038	4.93898e-6	DUSP19	Urinary incontinence	5.62941e-2	484	6083
Cells-EBV-transformedlymphocytes	X264.2	-79.4721	4.98088e-6	COL4A3BP	Failure to thrive (childhood)	5.00260e-2	73	6138
Pituitary	X367.2	-4.8604	4.98886e-6	CTSW	Astigmatism	3.08774e-2	58	8335
Esophagus-Mucosa	X427.42	-1.18466	5.01460e-6	CLYBL	Cardiac arrest	1.27195e-1	99	4456
Brain-Hippocampus	X539	0.729163	5.07347e-6	DUOX1	Bariatric surgery	3.70756e-3	157	8939
Brain-CerebellarHemisphere	X433.6	-1.06044	5.15774e-6	EEF1D	Acute, but ill-defined cerebrovascular disease	3.26727e-2	207	6934
Ovary	X378.5	2.92505	5.21763e-6	CDH9	Paralytic strabismus	9.21599e-2	28	7801
Cells-Transformedfibroblasts	X440.1	-2.31332	5.24402e-6	ECT2L	Atherosclerosis of renal artery	3.29403e-2	92	6676
Cells-Transformedfibroblasts	X800.1	-36.604	5.25467e-6	DCLRE1A	Fracture of neck of femur	3.74680e-2	194	7283
Brain-CerebellarHemisphere	X204	-1.2212	5.26060e-6	CHCHD5	Leukemia	1.43914e-2	430	8016
Pancreas	X259	23.7937	5.33775e-6	COASY	Other endocrine disorders	1.78460e-2	64	7558
Ovary	X370.1	-0.332355	5.34112e-6	DNAH6	Corneal ulcer	1.57221e-2	23	7798
Colon-Transverse	X524	5.72275	5.35686e-6	CHST10	Dentofacial anomalies, including malocclusion	9.58601e-3	28	8243
Cells-EBV-transformedlymphocytes	X202.21	67.4528	5.43502e-6	CCNJ	Nodular lymphoma	2.93394e-2	109	8016
Lung	X627.1	-8.38547	5.44517e-6	CDR2	Postmenopausal bleeding	2.67318e-3	87	7657
Pancreas	X379.9	2.15397	5.45715e-6	CENPP	Pain, swelling or discharge of eye	1.43621e-1	35	7801
Brain-Hippocampus	X292.2	-2.91989	5.54868e-6	CNPY3	Mild cognitive impairment	8.76212e-2	21	6654
Brain-Anteriorcingulatecortex-BA24	X317	-1.46572	5.60373e-6	COL6A5	Alcohol-related disorders	9.99566e-3	262	7008
Liver	X514.2	-1.89093	5.64123e-6	ECSCR	Solitary pulmonary nodule	8.81005e-2	43	7886
Brain-Putamen-basalganglia	X573.2	-1.90597	5.68717e-6	DPP8	Liver replaced by transplant	5.46142e-3	147	6421
Brain-CerebellarHemisphere	X81.1	-0.184585	5.70666e-6	DKK4	Graft-versus-host disease	3.05616e-2	35	7508
Spleen	X705.1	15.4477	5.74963e-6	CHRNB3	Dyshidrosis	9.83240e-2	20	8052
Breast-MammaryTissue	X760	-0.582116	5.75429e-6	DDX50	Back pain	2.09503e-2	1964	6177
Brain-FrontalCortex-BA9	X352	-9.28965	5.75871e-6	ELOVL7	Disorders of other cranial nerves	1.11571e-1	148	7504
Skin-SunExposed-Lowerleg	X496.2	-17.0745	5.78467e-6	CLDND2	Chronic bronchitis	1.75406e-3	314	6820
Brain-Hippocampus	X251.1	0.797193	5.78992e-6	DMBX1	Hypoglycemia	1.44416e-1	118	7558
SmallIntestine-TerminalIleum	X367.2	-0.979078	5.78999e-6	CTSW	Astigmatism	4.65714e-1	58	8335
Heart-AtrialAppendage	X977	-4.2152	5.79211e-6	CNBP	Personal history of allergy to medicinal agents	7.82348e-3	30	6561
Lung	X172.21	11.4453	5.81172e-6	CD55	Basal cell carcinoma (new)	1.02650e-2	104	7391
Esophagus-Mucosa	X625	-1.99021	5.81784e-6	CD52	Pain and other symptoms associated with female genital organs	6.26694e-3	235	8364
Muscle-Skeletal	X395.3	13.233	5.86600e-6	DCTN4	Nonrheumatic tricuspid valve disorders	1.62986e-3	76	7079
Artery-Aorta	X610.4	-3.51555	5.89667e-6	CREG1	Benign neoplasm of breast	1.34417e-1	21	7907
SmallIntestine-TerminalIleum	X78	-0.570958	5.90187e-6	CSRNP2	Viral warts & HPV	3.69976e-2	201	7233
Brain-Caudate-basalganglia	X752.1	-1.88598	5.90225e-6	CNTN1	Neural tube defects	1.50954e-2	23	8991
Pancreas	X480.2	2.60905	5.90643e-6	DYTN	Viral pneumonia	3.30477e-2	28	6217
Spleen	X519.1	71.1541	5.93589e-6	EDF1	Tracheostomy complications	3.68807e-2	25	8048
Spleen	X433.11	-4.73804	5.94409e-6	CPNE9	Occlusion of cerebral arteries, with cerebral infarction	2.29127e-2	79	6934
AdrenalGland	X349	1.09585	6.02776e-6	CHRNB3	Other and unspecified disorders of the nervous system	6.39191e-2	66	6544
AdrenalGland	X287.31	5.24979	6.02794e-6	DOPEY1	Primary thrombocytopenia	1.71626e-3	34	5981
Pituitary	X727.1	-1.44802	6.03354e-6	CD247	Synovitis and tenosynovitis	8.86935e-2	312	6730
Muscle-Skeletal	X574.1	0.619391	6.07882e-6	CLEC2L	Cholelithiasis	1.14693e-1	371	8056
Adipose-Subcutaneous	X622.1	-26.4758	6.09568e-6	CTTNBP2NL	Polyp of corpus uteri	4.51785e-3	37	8951
Artery-Coronary	X374.3	-0.00445699	6.12489e-6	DHDDS	Ptosis of eyelid	6.97626e-2	75	7798
Breast-MammaryTissue	X211	-7.04252	6.15619e-6	CCP110	Benign neoplasm of other parts of digestive system	1.89996e-2	72	8200
Heart-AtrialAppendage	X360	5.6579	6.25405e-6	CNTN1	Disorders of the globe	3.86372e-2	23	7724
Skin-NotSunExposed-Suprapubic	X350.2	1.93494	6.30323e-6	CD55	Abnormality of gait	1.85088e-2	457	7897
Stomach	X527	1.98441	6.38458e-6	DDT	Diseases of the salivary glands	6.32678e-2	72	8257
Colon-Sigmoid	X752.1	-6.40361	6.58968e-6	CYTH2	Neural tube defects	8.24159e-3	23	8991
Skin-NotSunExposed-Suprapubic	X362	0.540755	6.60159e-6	CLN8	Other retinal disorders	1.57621e-1	496	7724
Artery-Coronary	X573.6	21.7534	6.60691e-6	DMBX1	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	4.84111e-2	253	6421
Pituitary	X627.2	4.72363	6.61274e-6	CRHR2	Symptomatic menopause	1.90325e-2	383	7657
Brain-Hypothalamus	X264	-3.34794	6.66856e-6	CFTR	Lack of normal physiological development	1.05088e-2	147	6138
Brain-Hippocampus	X579	3.64395	6.67633e-6	CXXC1	Other symptoms involving abdomen and pelvis	4.70333e-2	452	6905
SmallIntestine-TerminalIleum	X41.9	-0.34617	6.70107e-6	ENTPD8	Infection with drug-resistant microorganisms	1.69569e-1	334	6607
Heart-AtrialAppendage	X604.1	-16.5836	6.71274e-6	DBX2	Redundant prepuce and phimosis/BXO	1.63429e-3	31	8178
Colon-Sigmoid	X204.22	2.20523	6.72898e-6	CEP290	Myeloid leukemia, chronic	1.06654e-1	48	8016
Heart-AtrialAppendage	X291.4	-7.64551	6.73914e-6	CDK5RAP3	Specific nonpsychotic mental disorders due to brain damage	1.73611e-3	22	6654
Brain-Cerebellum	X523	-0.100531	6.76945e-6	CDH15	Gingival and periodontal diseases	1.73598e-1	133	8243
Brain-Anteriorcingulatecortex-BA24	X531.2	0.187172	6.79647e-6	EPRS	Gastric ulcer	1.87331e-2	96	8568
Colon-Sigmoid	X278.11	2.86018	6.80920e-6	CTAGE6	Morbid obesity	5.78592e-3	619	6887
Colon-Sigmoid	X601.1	2.071	6.81863e-6	CPA1	Prostatitis	9.13930e-2	65	7335
Artery-Coronary	X446.4	-3.78429	6.83096e-6	CCDC9	Wegener's granulomatosis	1.63785e-2	30	6676
Brain-Anteriorcingulatecortex-BA24	X789.1	-42.33	6.88138e-6	CYB5D1	Persistent vomiting	1.13360e-1	43	5912
Artery-Coronary	X367.2	-1.04255	6.92568e-6	CTSW	Astigmatism	3.38336e-1	58	8335
Cells-EBV-transformedlymphocytes	X427.42	-0.778327	7.00438e-6	CD52	Cardiac arrest	1.19611e-2	99	4456
Cells-Transformedfibroblasts	X798.1	-2.65394	7.02013e-6	CDK7	Chronic fatigue syndrome	1.12213e-1	20	4755
Brain-CerebellarHemisphere	X204.1	-1.75265	7.03461e-6	CHCHD5	Lymphoid leukemia	1.43914e-2	191	8016
Esophagus-GastroesophagealJunction	X90	37.975	7.15001e-6	CLDN5	Sexually transmitted infections (not HIV or hepatitis)	8.01036e-3	23	9069
Brain-Putamen-basalganglia	X31	9.87875	7.16659e-6	DPP6	Diseases due to other mycobacteria	1.08536e-3	22	6607
Nerve-Tibial	X559	21.2251	7.26500e-6	CTR9	Ileostomy status	9.94599e-3	146	5956
SmallIntestine-TerminalIleum	X480.5	1.91847	7.35522e-6	CTDSP1	Bronchopneumonia and lung abscess	3.91690e-3	71	6217
Breast-MammaryTissue	X289	4.22446	7.37778e-6	CFB	Other diseases of blood and blood-forming organs	1.02392e-3	170	5838
Muscle-Skeletal	X736	7.78135	7.40736e-6	EME1	Other acquired deformities of limbs	2.51360e-3	53	7256
Pituitary	X585	-0.552613	7.41772e-6	CCKBR	Renal failure	1.87648e-3	2332	5644
SmallIntestine-TerminalIleum	X224.1	-0.377765	7.47894e-6	DPM2	Benign neoplasm of eye, uveal	1.10574e-1	21	8520
Brain-Nucleusaccumbens-basalganglia	X370.1	-4.74994	7.48697e-6	ECH1	Corneal ulcer	3.19972e-3	23	7798
Cells-Transformedfibroblasts	X627.21	15.3905	7.51267e-6	EMP1	Symptomatic artificial menopause	1.01677e-3	46	7657
AdrenalGland	X370.1	-3.84515	7.51566e-6	EIF2AK3	Corneal ulcer	4.17460e-2	23	7798
Skin-NotSunExposed-Suprapubic	X854	16.6112	7.56205e-6	DSCR8	Complications of cardiac/vascular device, implant, and graft	5.21075e-2	337	6685
Esophagus-Mucosa	X994	-1.13041	7.56672e-6	CD2AP	Sepsis and SIRS	5.17197e-2	871	7751
Skin-NotSunExposed-Suprapubic	X367.2	-1.20061	7.56702e-6	CTSW	Astigmatism	2.34353e-1	58	8335
Brain-FrontalCortex-BA9	X621	-0.527101	7.58105e-6	COMMD7	Endometrial hyperplasia	2.97405e-2	24	8951
Artery-Tibial	X705.1	-1.62757	7.58939e-6	CCDC66	Dyshidrosis	2.77341e-1	20	8052
Brain-Hippocampus	X259.1	2.2302	7.60620e-6	CEACAM7	Nonspecific abnormal results of other endocrine function study	9.23626e-3	33	7558
Testis	X580.31	1.44316	7.65031e-6	CCL13	Nephritis and nephropathy in diseases classified elsewhere	4.27272e-2	157	5644
Adipose-Subcutaneous	X370.1	-6.63519	7.74085e-6	CRCT1	Corneal ulcer	1.04904e-2	23	7798
Artery-Coronary	X577	-1.24216	7.74528e-6	CTDSP2	Diseases of pancreas	3.00877e-2	337	8624
Artery-Aorta	X531.4	-3.94873	7.76273e-6	DHRS2	Peptic ulcer, site unspecified	1.12508e-3	81	8568
Heart-AtrialAppendage	X433	-7.4021	7.79523e-6	CRTC3	Cerebrovascular disease	7.90349e-3	1382	6934
Spleen	X750.21	-8.26484	7.92445e-6	CCNI	Congenital anomalies of intestine	2.81786e-3	20	8409
Lung	X286.1	-2.13053	8.05622e-6	CLSTN3	Congenital coagulation defects	1.50384e-1	34	5981
SmallIntestine-TerminalIleum	X646	6.20884	8.06890e-6	DGAT2	Other complications of pregnancy NEC	2.20025e-2	22	9082
Thyroid	X362.29	2.94764	8.09295e-6	DDR1	Macular degeneration (senile) of retina NOS	3.70420e-3	92	7724
Esophagus-Muscularis	X513.8	-2.24063	8.10032e-6	DARS2	Disorders of diaphragm	1.43261e-1	33	7861
Cells-EBV-transformedlymphocytes	X365	-0.362931	8.11743e-6	CCDC66	Glaucoma	2.93918e-1	362	7724
Cells-Transformedfibroblasts	X443.1	2.04928	8.12823e-6	EIF4B	Raynaud's syndrome	1.14608e-1	45	6676
Skin-SunExposed-Lowerleg	X315	5.59882	8.37243e-6	DROSHA	Develomental delays and disorders	1.10528e-2	150	8646
AdrenalGland	X165.1	-4.74906	8.38329e-6	CPZ	Cancer of bronchus; lung	1.39568e-2	308	8627
Esophagus-Mucosa	X795.81	-4.91041	8.38754e-6	CYTH2	Elevated carcinoembryonic antigen [CEA]	4.71036e-3	38	8967
Cells-Transformedfibroblasts	X459.1	3.15239	8.41795e-6	DUSP2	Hemorrhage NOS	2.46830e-2	50	6597
Brain-Cerebellum	X427.8	10.0934	8.42811e-6	CHCHD3	Sinoatrial node dysfunction (Bradycardia)	1.85012e-2	363	4456
SmallIntestine-TerminalIleum	X455	0.761859	8.53540e-6	CENPP	Hemorrhoids	7.05222e-2	373	6144
AdrenalGland	X426.23	-8.64904	8.53828e-6	CPZ	Second degree AV block	1.39568e-2	55	4456
Ovary	X217.1	-3.53251	8.57030e-6	DUSP15	Nevus, non-neoplastic	1.58004e-2	28	7709
Heart-AtrialAppendage	X355.1	7.17743	8.59291e-6	DNHD1	Chronic pain syndrome	1.01601e-2	91	7504
Brain-FrontalCortex-BA9	X531.1	0.680413	8.61684e-6	CD300E	Hemorrhage from gastrointestinal ulcer	1.00683e-2	47	8568
Skin-NotSunExposed-Suprapubic	X818	-2.72146	8.63823e-6	CD207	Intracranial hemorrhage (injury)	1.48045e-2	114	8639
Colon-Sigmoid	X184	18.1477	8.67435e-6	CTNNBL1	Cancer of other female genital organs	1.81281e-2	123	7989
Heart-LeftVentricle	X430.1	-32.4589	8.67852e-6	ENKD1	Subarachnoid hemorrhage	3.11348e-2	51	6934
Spleen	X253.3	-0.327238	8.75131e-6	EGLN1	Diabetes insipidus	4.22780e-2	27	7558
AdrenalGland	X374.1	4.99049	8.78551e-6	CCL7	Ectropion or entropion	3.46427e-2	34	7798
Brain-Hippocampus	X464	6.04996	8.84078e-6	CCDC33	Acute sinusitis	2.48791e-2	589	6770
Brain-FrontalCortex-BA9	X198	-0.87782	8.91009e-6	CCDC94	Secondary malignant neoplasm	4.63824e-2	1030	6274
Esophagus-GastroesophagealJunction	X367.2	-1.33967	8.91211e-6	CTSW	Astigmatism	2.27697e-1	58	8335
Brain-Cerebellum	X198.1	3.09422	8.98629e-6	CPSF6	Secondary malignancy of lymph nodes	3.49424e-3	469	6274
Nerve-Tibial	X242.2	8.47711	9.02044e-6	DMXL1	Toxic multinodular goiter	5.62857e-3	27	7001
Brain-Anteriorcingulatecortex-BA24	X530.5	9.91613	9.06598e-6	DCLRE1C	Disorders of esophageal motility	8.63050e-3	38	5130
Cells-EBV-transformedlymphocytes	X475.9	5.10117	9.08024e-6	CKM	Postnasal drip	4.68886e-3	37	6193
AdrenalGland	X696.4	-23.3935	9.12632e-6	CDC123	Psoriasis	2.30057e-2	126	7172
Brain-Anteriorcingulatecortex-BA24	X967	-0.133235	9.15908e-6	DUSP2	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1.99941e-1	40	6561
Esophagus-Muscularis	X338.2	1.58147	9.21641e-6	CREBL2	Chronic pain	1.84660e-2	311	7363
Skin-NotSunExposed-Suprapubic	X750.21	-17.2746	9.24825e-6	CCDC71L	Congenital anomalies of intestine	4.92099e-3	20	8409
Muscle-Skeletal	X260.1	-12.2764	9.33500e-6	CCDC90B	Cachexia	1.32013e-3	45	6138
Spleen	X728.7	0.378075	9.37694e-6	DENND2A	Fasciitis	2.82238e-2	114	6730
Heart-LeftVentricle	X465	1.50511	9.51911e-6	CFTR	Acute upper respiratory infections of multiple or unspecified sites	2.49584e-2	905	6770
Colon-Sigmoid	X599	-2.78774	9.52638e-6	DNMBP	Other symptoms/disorders or the urinary system	1.07881e-2	1637	6083
Pituitary	X555.21	-4.52584	9.58026e-6	CLMP	Ulcerative colitis (chronic)	2.68013e-2	54	5956
Esophagus-GastroesophagealJunction	X695.8	-44.5118	9.62415e-6	CTSV	Other specified erythematous conditions	2.06067e-3	48	7590
Heart-LeftVentricle	X110.13	-2.10473	9.71219e-6	CES2	Dermatophytosis of the body	1.10118e-1	37	7391
Spleen	X447	-4.84835	9.76764e-6	CCNI	Other disorders of arteries and arterioles	2.81786e-3	102	6676
Pituitary	X611	-0.812664	9.86479e-6	DUSP2	Abnormal findings on mammogram or breast exam	3.07757e-2	580	8102
Stomach	X189.12	-10.0044	9.87917e-6	CHRNA5	Malignant neoplasm of renal pelvis	6.59156e-3	51	8503
Artery-Coronary	X250.11	-6.439	9.89009e-6	DMP1	Type 1 diabetes with ketoacidosis	8.55578e-3	48	4936
Nerve-Tibial	X727.7	-6.14594	9.90766e-6	DUOXA2	Contracture of tendon (sheath)	1.35739e-3	30	6730
Brain-Anteriorcingulatecortex-BA24	X587	0.77126	9.94669e-6	CFB	Kidney replaced by transpant	5.19925e-2	672	5644
Heart-LeftVentricle	X514.1	5.81884	9.95832e-6	CFTR	Abnormal results of function study of pulmonary system	2.49584e-2	24	7886
Heart-LeftVentricle	X649.1	-214908000000000	0.00000e+0	HTR3C	Diabetes or abnormal glucose tolerance complicating pregnancy	1.71384e-2	45	8965
Heart-LeftVentricle	X634	2.59628e15	0.00000e+0	HTR3C	Miscarriage; stillbirth	1.71384e-2	31	8943
Heart-LeftVentricle	X636.1	-2.01277e15	0.00000e+0	HTR3C	Threatened premature labor	1.71384e-2	37	8943
Heart-LeftVentricle	X256	-547327000000000	0.00000e+0	HTR3C	Ovarian dysfunction	1.71384e-2	59	7558
Heart-LeftVentricle	X256.4	-334290000000000	0.00000e+0	HTR3C	Polycystic ovaries	1.71384e-2	37	7558
Heart-LeftVentricle	X636.2	-1.65477e15	0.00000e+0	HTR3C	Early onset of delivery	1.71384e-2	31	8943
Brain-Cerebellum	X286.81	5.08045	1.73810e-17	F5	Primary hypercoagulable state	4.95253e-3	80	5981
Brain-Cerebellum	X286.8	4.607	6.73568e-16	F5	Hypercoagulable state	4.95253e-3	98	5981
Brain-Cerebellum	X286.12	5.81933	2.50827e-9	F5	Congenital deficiency of other clotting factors (including factor VII)	4.95253e-3	24	5981
Brain-Cerebellum	X286.1	5.04069	1.13282e-8	F5	Congenital coagulation defects	4.95253e-3	34	5981
Stomach	X695.7	37.1828	1.24898e-8	HNF1A	Prurigo and Lichen	2.90809e-3	23	7590
Brain-Hypothalamus	X636.1	-37.1595	2.54206e-8	FAM124A	Threatened premature labor	7.00546e-2	37	8943
Brain-Nucleusaccumbens-basalganglia	X790	6.15389	3.08956e-8	HPGDS	Nonspecific findings on examination of blood	7.29506e-3	49	7554
Stomach	X818.2	2.74621	3.92392e-8	FOXR1	Subarachnoid hemorrhage (injury)	4.38310e-2	37	8639
Esophagus-Mucosa	X227.3	-29.1615	7.13230e-8	HECTD3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	2.06562e-3	54	8574
Esophagus-Mucosa	X697	-144.744	1.01689e-7	FNBP1L	Sarcoidosis	3.67400e-3	33	7590
Liver	X335	2.00257	1.07818e-7	HIST1H4A	Multiple sclerosis	2.93733e-3	84	6421
Brain-Anteriorcingulatecortex-BA24	X159.3	54.521	1.10773e-7	HRK	Malignant neoplasm of gallbladder and extrahepatic bile ducts	4.95026e-2	34	8073
SmallIntestine-TerminalIleum	X749	-4.37586	1.67499e-7	GTF3C2	Congenital anomalies of face and neck	2.36547e-3	28	8994
Thyroid	X455	1.36297	2.01157e-7	FGD3	Hemorrhoids	5.48711e-2	373	6144
Pituitary	X259.1	0.0126032	2.05360e-7	FER	Nonspecific abnormal results of other endocrine function study	2.14133e-3	33	7558
Testis	X747.13	-0.354504	2.39263e-7	GPT	Congenital anomalies of great vessels	1.20738e-3	58	8634
Nerve-Tibial	X706.8	2.87742	3.19629e-7	FAM169A	Other specified diseases of sebaceous glands	9.29030e-2	52	8052
Thyroid	X340.1	-2.3368	3.22301e-7	GPLD1	Migrain with aura	1.05034e-1	44	8495
Brain-Hypothalamus	X349	-0.0822554	3.45039e-7	FOXR1	Other and unspecified disorders of the nervous system	5.85003e-2	66	6544
Cells-EBV-transformedlymphocytes	X378.5	-0.713612	3.75154e-7	FARSB	Paralytic strabismus	1.89208e-1	28	7801
Artery-Tibial	X706.8	1.81655	3.77045e-7	FAM169A	Other specified diseases of sebaceous glands	1.83464e-1	52	8052
Cells-EBV-transformedlymphocytes	X527.7	-35.7439	3.86880e-7	FOXJ3	Disturbance of salivary secretion	1.09736e-1	27	8257
Thyroid	X227.3	2.48127	4.08630e-7	GSDMC	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1.55510e-1	54	8574
